"Severity","Rule","File","Line","Detail","Recommendation"
"High","RigidWideGrid","src\Accyourate.App\LaundryMaintenanceWindow.cs","291","Griglia con 8 colonne fisse e almeno 1100 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\LoginWindow.cs","27","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\MainWindow.cs","61","MinWidth impostata a 1120 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\MedicalDevicesWindow.cs","39","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\MedicalDevicesWindow.cs","53","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\MedicalDevicesWindow.cs","94","Griglia con 10 colonne fisse e almeno 1275 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\MedicalDeviceTwinWindow.cs","22","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\MedicalDeviceTwinWindow.cs","35","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\NotificationsWindow.cs","13","MinWidth impostata a 900 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\ProductionQualityWindow.cs","43","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\ProductionQualityWindow.cs","59","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\ProductionQualityWindow.cs","91","Griglia con 10 colonne fisse e almeno 1300 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\ProductionQualityWindow.cs","154","Griglia con 8 colonne fisse e almeno 940 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\ProductionQualityWindow.cs","159","Griglia con 8 colonne fisse e almeno 940 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\ProductionQualityWindow.cs","172","Griglia con 9 colonne fisse e almeno 1110 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\ProductionQualityWindow.cs","177","Griglia con 9 colonne fisse e almeno 1110 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\SettingsWindow.cs","22","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\SettingsWindow.cs","36","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\Shared\UI\ResponsiveUi.cs","9","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\Shared\UI\ResponsiveUi.cs","26","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\TextileItemWindow.cs","37","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\ThemePersonalizationWindow.cs","46","MinWidth impostata a 980 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","LargeMinWidth","src\Accyourate.App\UsersWindow.cs","30","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\UsersWindow.cs","44","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","LargeMinWidth","src\Accyourate.App\WarehouseLogisticsWindow.cs","51","MinWidth impostata a 1180 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\WarehouseLogisticsWindow.cs","72","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\WarehouseLogisticsWindow.cs","136","Griglia con 7 colonne fisse e almeno 1050 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\WarehouseLogisticsWindow.cs","171","Griglia con 7 colonne fisse e almeno 990 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\WarehouseLogisticsWindow.cs","310","Griglia con 8 colonne fisse e almeno 1080 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\WarehouseLogisticsWindow.cs","323","Griglia con 8 colonne fisse e almeno 1080 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\WarehouseLogisticsWindow.cs","344","Griglia con 8 colonne fisse e almeno 980 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\WarehouseLogisticsWindow.cs","357","Griglia con 8 colonne fisse e almeno 980 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","LargeMinWidth","src\Accyourate.App\WorkflowWindow.cs","23","MinWidth impostata a 1024 px.","Rimuovere il vincolo o migrare il contenuto a WrapPanel/schede responsive."
"High","HorizontalAutoScroll","src\Accyourate.App\WorkflowWindow.cs","37","Scorrimento orizzontale automatico presente.","Verificare che sia limitato a una tabella reale e non all'intera pagina."
"High","RigidWideGrid","src\Accyourate.App\WorkflowWindow.cs","113","Griglia con 8 colonne fisse e almeno 1140 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"High","RigidWideGrid","src\Accyourate.App\WorkflowWindow.cs","134","Griglia con 8 colonne fisse e almeno 1140 px.","Usare AxResponsiveRecordCard oppure isolare una vera tabella in uno scorrimento dedicato."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\AssetManagementView.cs","121","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\AssetManagementView.cs","350","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\AssetManagementView.cs","594","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\AssetManagementView.cs","634","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\AssetManagementView.cs","900","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\AssetManagementView.cs","1072","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\LocationStocktakeView.cs","18","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\LocationStocktakeView.cs","41","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\MaintenanceOperationsView.cs","53","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\MaintenanceOperationsView.cs","486","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\MaintenancePurchasingView.cs","39","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartLocationsView.cs","134","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","31","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartQuarantineWindow.cs","28","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartReplenishmentView.cs","32","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","17","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartsInventoryView.cs","31","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","26","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","128","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierCommunicationArchiveWindow.cs","19","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierCommunicationRegisterWindow.cs","17","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierEmailComposerWindow.cs","17","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","45","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaAuditDashboardWindow.cs","39","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","16","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaCapaAttestationRetentionAuditWindow.cs","15","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaCapaCriticalityAssignmentRulesWindow.cs","14","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaCentralAuditRegisterWindow.cs","20","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaComplianceWindow.cs","16","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","20","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","69","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","87","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaDetailWindow.cs","16","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","18","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","20","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\AssetManagement\SupplierRmaValidationRegisterWindow.cs","38","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\BrandingCenterWindow.cs","140","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\MainWindow.cs","132","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\MainWindow.cs","872","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\MainWindow.cs","1027","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\Platform\Home\EnterpriseHomeView.cs","279","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\UIFramework\DesignSystem\AxPageHeader.cs","15","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Medium","LegacyPageHeader","src\Accyourate.App\UIFramework\DesignSystem\AxToolbar.cs","23","Intestazione potenzialmente basata su colonne titolo/comandi.","Usare AxResponsivePageHeader per separare titolo e barra comandi."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\LocationStocktakeView.cs","24","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\LocationStocktakeView.cs","41","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\MaintenanceOperationsView.cs","70","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\MaintenancePurchasingView.cs","46","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","33","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartPickRequestsWindow.cs","61","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartQuarantineWindow.cs","56","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartReplenishmentView.cs","117","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","17","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","20","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartRmaWindow.cs","75","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartsInventoryView.cs","35","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartsInventoryView.cs","78","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","28","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","91","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SparePartStocktakeView.cs","127","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierCommunicationArchiveWindow.cs","19","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierCommunicationRegisterWindow.cs","17","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierCommunicationRegisterWindow.cs","22","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","47","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","53","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierFollowUpDashboardWindow.cs","86","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaAuditDashboardWindow.cs","31","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","16","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaAuditScheduleWindow.cs","19","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCapaDossierRegistryWindow.cs","51","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCapaGovernanceDashboardWindow.cs","75","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCapaGovernanceGoalsWindow.cs","7","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCapaGovernanceReviewsWindow.cs","21","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCapaGovernanceReviewsWindow.cs","31","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCapaGovernanceReviewsWindow.cs","39","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCentralAuditRegisterWindow.cs","20","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaComplianceWindow.cs","16","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaComplianceWindow.cs","19","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","20","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","23","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","53","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaCorrectiveActionsWindow.cs","87","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaDetailWindow.cs","16","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaPerformanceWindow.cs","52","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","18","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
"Low","HorizontalStackPanel","src\Accyourate.App\AssetManagement\SupplierRmaPortalWindow.cs","20","StackPanel orizzontale che non supporta il ritorno a capo.","Se contiene filtri o comandi, sostituire con WrapPanel o un componente responsive Ax*."
